 EPOCH1D v4.9.2   v4.9.2-0-ged589c1e-clean 1522760112.66               

 Loaded 65536 particles of species "Electron"
 Loaded 65536 particles of species "Ion"
Wrote normal  dump number   82 at time  0.820880390527E-14 and iteration    175
Wrote normal  dump number   83 at time  0.830261880704E-14 and iteration    177
Wrote normal  dump number   84 at time  0.844334115970E-14 and iteration    180
Wrote normal  dump number   85 at time  0.853715606148E-14 and iteration    182
Wrote normal  dump number   86 at time  0.863097096325E-14 and iteration    184
Wrote normal  dump number   87 at time  0.872478586503E-14 and iteration    186
Wrote normal  dump number   88 at time  0.881860076680E-14 and iteration    188
Wrote normal  dump number   89 at time  0.891241566858E-14 and iteration    190
Wrote full    dump number   90 at time  0.900623057035E-14 and iteration    192
Wrote normal  dump number   91 at time  0.910004547212E-14 and iteration    194
Wrote normal  dump number   92 at time  0.924076782479E-14 and iteration    197
Wrote normal  dump number   93 at time  0.933458272656E-14 and iteration    199
Wrote normal  dump number   94 at time  0.942839762834E-14 and iteration    201
Wrote normal  dump number   95 at time  0.952221253011E-14 and iteration    203
Wrote normal  dump number   96 at time  0.961602743188E-14 and iteration    205
Wrote normal  dump number   97 at time  0.970984233366E-14 and iteration    207
Wrote normal  dump number   98 at time  0.980365723543E-14 and iteration    209
Wrote normal  dump number   99 at time  0.994437958809E-14 and iteration    212
Wrote full    dump number  100 at time  0.100381944899E-13 and iteration    214
Wrote normal  dump number  101 at time  0.101320093916E-13 and iteration    216
Wrote normal  dump number  102 at time  0.102258242934E-13 and iteration    218
Wrote normal  dump number  103 at time  0.103196391952E-13 and iteration    220
Wrote normal  dump number  104 at time  0.104134540970E-13 and iteration    222
Wrote normal  dump number  105 at time  0.105072689987E-13 and iteration    224
Wrote normal  dump number  106 at time  0.106010839005E-13 and iteration    226
Wrote normal  dump number  107 at time  0.107418062532E-13 and iteration    229
Wrote normal  dump number  108 at time  0.108356211550E-13 and iteration    231
Wrote normal  dump number  109 at time  0.109294360567E-13 and iteration    233
Wrote full    dump number  110 at time  0.110232509585E-13 and iteration    235
Wrote normal  dump number  111 at time  0.111170658603E-13 and iteration    237
Wrote normal  dump number  112 at time  0.112108807621E-13 and iteration    239
Wrote normal  dump number  113 at time  0.113046956638E-13 and iteration    241
Wrote normal  dump number  114 at time  0.114454180165E-13 and iteration    244
Wrote normal  dump number  115 at time  0.115392329183E-13 and iteration    246
Wrote normal  dump number  116 at time  0.116330478200E-13 and iteration    248
Wrote normal  dump number  117 at time  0.117268627218E-13 and iteration    250
Wrote normal  dump number  118 at time  0.118206776236E-13 and iteration    252
Wrote normal  dump number  119 at time  0.119144925254E-13 and iteration    254
Wrote full    dump number  120 at time  0.120083074271E-13 and iteration    256
Wrote normal  dump number  121 at time  0.121021223289E-13 and iteration    258
Wrote normal  dump number  122 at time  0.122428446816E-13 and iteration    261
Wrote normal  dump number  123 at time  0.123366595833E-13 and iteration    263
Wrote normal  dump number  124 at time  0.124304744851E-13 and iteration    265
Wrote normal  dump number  125 at time  0.125242893869E-13 and iteration    267
Wrote normal  dump number  126 at time  0.126181042887E-13 and iteration    269
Wrote normal  dump number  127 at time  0.127119191904E-13 and iteration    271
Wrote normal  dump number  128 at time  0.128057340922E-13 and iteration    273
Wrote normal  dump number  129 at time  0.129464564449E-13 and iteration    276
Wrote full    dump number  130 at time  0.130402713467E-13 and iteration    278
Wrote normal  dump number  131 at time  0.131340862484E-13 and iteration    280
Wrote normal  dump number  132 at time  0.132279011502E-13 and iteration    282
Wrote normal  dump number  133 at time  0.133217160520E-13 and iteration    284
Wrote normal  dump number  134 at time  0.134155309538E-13 and iteration    286
Wrote normal  dump number  135 at time  0.135093458555E-13 and iteration    288
Wrote normal  dump number  136 at time  0.136031607573E-13 and iteration    290
Wrote normal  dump number  137 at time  0.137438831100E-13 and iteration    293
Wrote normal  dump number  138 at time  0.138376980117E-13 and iteration    295
Wrote normal  dump number  139 at time  0.139315129135E-13 and iteration    297
Wrote full    dump number  140 at time  0.140253278153E-13 and iteration    299
Wrote normal  dump number  141 at time  0.141191427171E-13 and iteration    301
Wrote normal  dump number  142 at time  0.142129576188E-13 and iteration    303
Wrote normal  dump number  143 at time  0.143067725206E-13 and iteration    305
Wrote normal  dump number  144 at time  0.144005874224E-13 and iteration    307
Wrote normal  dump number  145 at time  0.145413097750E-13 and iteration    310
Wrote normal  dump number  146 at time  0.146351246768E-13 and iteration    312
Wrote normal  dump number  147 at time  0.147289395786E-13 and iteration    314
Wrote normal  dump number  148 at time  0.148227544804E-13 and iteration    316
Wrote normal  dump number  149 at time  0.149165693821E-13 and iteration    318
Wrote full    dump number  150 at time  0.150103842839E-13 and iteration    320
Wrote normal  dump number  151 at time  0.151041991857E-13 and iteration    322
Wrote normal  dump number  152 at time  0.152449215384E-13 and iteration    325
Wrote normal  dump number  153 at time  0.153387364401E-13 and iteration    327
Wrote normal  dump number  154 at time  0.154325513419E-13 and iteration    329
Wrote normal  dump number  155 at time  0.155263662437E-13 and iteration    331
Wrote normal  dump number  156 at time  0.156201811455E-13 and iteration    333
Wrote normal  dump number  157 at time  0.157139960472E-13 and iteration    335
Wrote normal  dump number  158 at time  0.158078109490E-13 and iteration    337
Wrote normal  dump number  159 at time  0.159016258508E-13 and iteration    339
